Number,Type,Title,Credits,Semester,Lastname,Firstname
188.980,VU,Advanced Information Retrieval,3.0,2016S,Rauber, Andreas
188.949,PR,Advanced Research Lab in Applied Computer Science,15.0,2016S,Tjoa, A Min
188.919,PR,Bachelor Thesis,10.0,2016S,Biffl, Stefan
188.411,VO,Digital Preservation,3.0,2016S,Rauber, Andreas
188.475,UE,Digital Preservation - Exercises,3.0,2016S,Rauber, Andreas
188.293,PV,Exclusive Tutorial for PhD Students,4.0,2016S,Tjoa, A Min
188.961,PR,From Design to Software 2,6.0,2016S,Aigner, Wolfgang
188.412,VU,Information Retrieval,4.5,2016S,Rauber, Andreas
188.504,VU,Introduction to Informatics Didactics,3.0,2016S,Futschek, Gerald
188.383,SE,Leadership Competency Coaching 1,3.0,2016S,Fischer, Gabriele
188.472,SE,Leadership Competency Coaching 2,3.0,2016S,Fischer, Gabriele
188.920,PR,Project in Software Engineering & Internet Computing,12.0,2016S,Biffl, Stefan
188.081,SE,Research seminar for PhD students,3.0,2016S,Futschek, Gerald
188.918,SE,Scientific Work,3.0,2016S,Biffl, Stefan
188.321,SE,Seminar in Software Engineering,3.0,2016S,Biffl, Stefan
188.960,SE,Seminar on Media Informatics,3.0,2016S,Aigner, Wolfgang
188.979,SE,Seminar on Security,3.0,2016S,Piller, Ernst
188.082,SE,Seminar: Literature-work for PhD students,2.0,2016S,Miksch, Silvia
188.410,VO,Software Engineering and Project Management,3.0,2016S,Biffl, Stefan
188.909,PR,Software Engineering and Projectmanagement,6.0,2016S,Biffl, Stefan
188.042,SE,diploma thesis seminar,3.0,2016S,Futschek, Gerald
188.949,PR,Advanced Research Lab in Applied Computer Science,15.0,2015W,Weippl, Edgar
188.910,PR,Advanced Software Engineering,6.0,2015W,Biffl, Stefan
188.919,PR,Bachelor Thesis,10.0,2015W,Biffl, Stefan
188.926,PR,Bachelor Thesis for Informatics and Business Informatics,10.0,2015W,Kappel, Gertrude
188.944,PR,Bachelor Thesis for Informatics and Business Informatics,10.0,2015W,Werthner, Hannes
188.429,VU,Business Intelligence,6.0,2015W,Tjoa, A Min
188.939,PR,Computer Science Project,10.0,2015W,Eidenberger, Horst
188.922,VU,Digital Forensics,3.0,2015W,Weippl, Edgar
188.147,SE,Diploma Students Seminar,3.0,2015W,Breiteneder, Christian
188.427,VU,E-Commerce,3.0,2015W,Werthner, Hannes
188.390,VU,Enterprise Modeling and Business Engineering,6.0,2015W,Tjoa, A Min
188.976,PV,Exclusive Tutorial for PhD Students,3.0,2015W,Kappel, Gertrude
188.934,PR,From Design to Software 1,6.0,2015W,Eidenberger, Horst
188.966,PR,From Design to Software 1,6.0,2015W,Aigner, Wolfgang
188.978,VU,IT Governance,3.0,2015W,Kappel, Gertrude
