facultyid,number,name,instituteid
1601,E183,Institut für Rechnergestützte Automation,2
1601,E186,Institut für Computergraphik und Algorithmen,1605
1601,E187,Institut für Gestaltungs- und Wirkungsforschung,1624
1601,E184,Institut für Informationssysteme,1603
1601,E525,Studiendekanat für Wirtschaftsinformatik,1656
1601,E195,Zentrum für Koordination & Kommunikation der Fakultät für Informatik,1663
1601,E188,Institut für Softwaretechnik und Interaktive Systeme,1606
1601,E182,Institut für Technische Informatik,1602
1601,E520,Studiendekanat für Informatik,1655
1601,E185,Institut für Computersprachen,1604
